code,name,mv_mean,amount_mean,profit,主营产品名称,主营产品类型,公司简介
603501.SH,韦尔股份,21700760.251272615,1982250.9124730292,4476187473.66,USB-C接口电路、保护器件、场效应晶体管、电源管理、模拟开关、双极型晶体管、肖特基二极管,半导体分立器件,公司是一家以自主研发、销售服务为主体的半导体器件设计和销售公司，主要从事设计、制造和销售应用于便携式电子产品、电视、电动车、电表、通信设备、网络设备、信息终端等领域的高性能集成电路，主要产品包括开关器件、信号放大器件、系统电源及控制方案、系统保护方案、电磁干扰滤波方案、分立器件。公司逐步引进大量人才，重点加强研发、品质等方面人才储备，同时建立了先进的可靠性实验室、EMC实验室，在产品的研发、试产、量产过程中，对产品质量层层把关，并为合作伙伴提供大量的EMC测试，在得到合作伙伴认可的同时，公司正逐步成为国际知名的半导体器件厂商。
002371.SZ,北方华创,16596730.147623016,2152776.0553983403,1077409991.25,高可靠高稳定电阻器、固体钽电容器、混合集成电路、集成电路制造设备、石英晶体器件,电子元器件、集成电路,公司是一家以电子专用设备和电子元器件为主要产品，集研发、生产、销售及服务于一体的大型综合性高科技公司。电子专用设备方面，公司以大规模集成电路制造工艺技术为核心，研发生产了集成电路工艺设备、太阳能电池制造设备、气体质量流量控制器(MFC)、TFT设备、真空热处理设备、锂离子电池制造设备等系列产品，广泛应用于半导体、光伏、电力电子、TFT-LCD、LED、MEMS、锂电等多个新兴行业。高精密电子元器件方面，公司依托多年的元器件技术积累，建立了新产品、新工艺研发体系，产品技术等级不断提升，研发生产了电阻、电容、晶体器件、微波组件、模块电源、混合集成电路等高精密电子元器件系列产品，广泛应用于精密仪器仪表、自动控制等领域。公司为中国电子专用设备工业协会理事长和中国电子元件协会副理事长单位，是中国最大的电子装备生产基地和高端电子元器件制造基地。公司始终站在电子信息技术的前沿，技术开发坚持以自主研发为主、对外技术合作为辅的发展道路。公司依靠自主研发创造了辉煌的业绩，保持了在国内同行业中的技术领先地位。
002129.SZ,中环股份,13895768.98189467,2349741.2192282155,4029617597.1,中环6芯片、中环单晶硅棒、中环单晶硅片、中环高压硅堆、中环硅桥式整流器、中环硅整流二极管、中环区熔单晶、中环区熔硅片、中环特种高压硅堆、中环肖特基二极管、中环直拉单晶、中环直拉硅片,半导体材料、半导体分立器件、电子元器件,公司是天津中环电子信息集团有限公司控股的公众公司。公司致力于半导体节能产业和新能源产业，是一家集科研、生产、经营、创投于一体的国有控股高新技术企业。公司围绕“绿色低碳、可持续发展”，致力于半导体节能和新能源两大产业，制造管理上推行自动化、产品创新上实现差异化，在自身快速发展的前提下推动行业的整体发展，实现回报股东、奉献社会。公司产品广泛应用于智能电网传输、新能源汽车、高铁、风能发电逆变器、集成电路、消费类电子、航天航空、光伏发电等多个领域。2018年公司收购国电光伏90%股权，有利于充分发挥公司主营业务综合优势，增强上市公司持续经营能力。
600745.SH,闻泰科技,13673716.459090909,1546942.2611286307,2611542317.51,笔记本电脑、车联网、汽车电子、虚拟现实、移动终端、智能硬件、智能终端,电脑整机、电子设备及加工、互联网服务、移动通讯设备与配件、智能商用设备,闻泰科技是中国A股上市公司，主营业务包括半导体IDM、光学模组、通讯产品集成三大业务板块，已经形成从半导体芯片设计、晶圆制造、封装测试，到光学模组、通讯终端、服务器、笔记本电脑、IoT、汽车电子产品研发制造于一体的全产业链布局。旗下的安世半导体是全球知名的半导体IDM公司，是原飞利浦半导体标准产品事业部，有60多年半导体研发和制造经验，总部位于荷兰奈梅亨，晶圆制造工厂在德国汉堡和英国曼彻斯特，封装测试工厂位于中国东莞、菲律宾卡布尧和马来西亚芙蓉。安世半导体设备公司ITEC致力为全球半导体制造商带来经久耐用的创新性制造解决方案，提供半导体、RFID和MiniLED制造设备和系统，以高生产率水平的组装、测试、检测和智能制造平台为客户助力，帮助客户在质量、生产率和可持续性方面取得优势地位，同时把总体拥有成本降到低位。旗下的得尔塔科技在光学模组领域是主流供应商。公司采用flip-chip技术，实现更稳定的性能，更强的抗干扰、更小的产品尺寸，以满足特定客户的产品需求。得尔塔科技拥有FTIR、X-Ray、TBR、酸碱化学试验等解析和信赖试验设备一百多台，专注光学领域的研发和生产分析实验，聚焦摄像头模组的同时，积极布局新技术、新产品和新服务。公司以多年专业经验铸就有利竞争优势，未来随着摄像头高端化、双摄、三摄等技术的创新，其将不断向手机、IoT、智能汽车等领域延伸，从而实现高速增长。
600703.SH,三安光电,13435160.082835868,2659682.409966805,1313021414.22,三安光电LED外延片、三安光电PIN光电二极管、三安光电氮化镓LED芯片、三安光电砷化镓LED芯片、三安光电太阳能电池,半导体分立器件、半导体太阳能光伏、集成电路,公司是国家发改委批准的“国家高科技产业化示范工程”企业、工业和信息化部认定的“国家技术创新示范企业”，承担了国家“863”、“973”计划等多项重大课题，拥有国家人事部颁发的博士后科研工作站及国家认定的企业技术中心。公司主要从事全色系超高亮度LED外延片、芯片、Ⅲ-Ⅴ族化合物半导体材料、微波通讯集成电路与功率器件、光通讯元器件等的研发、生产与销售，产品性能指标居国际先进水平。公司凭借强大的企业实力，继2014年扩大LED外延芯片研发与制造产业化规模、同时投资集成电路产业，建设砷化镓高速半导体与氮化镓高功率半导体项目之后，2018年三安光电在福建泉州南安高新技术产业园区，斥资333亿元投资Ⅲ-Ⅴ族化合物半导体材料、LED外延、芯片、微波集成电路、光通讯、射频滤波器、电力电子、SIC材料及器件、特种封装等产业。
002049.SZ,紫光国微,12580452.035011878,1676146.697165975,1953785798.57,DRAM存储器芯片、IGBT、IGTO、THD88芯片、Titan系列可编程系统芯片（FPGA）产品PGT180H、USB-Key主控芯片、第二代可编程系统集成芯片（SoPC）产品、高压超结MOSFET、蓝宝石衬底材料、石英晶体元器件、特种存储器、特种电源管理、特种接口驱动、特种可编程器件、特种微处理器、特种总线,电子元器件,公司是紫光集团旗下半导体行业上市公司，专注于集成电路芯片设计开发领域，是目前国内领先的集成电路芯片设计和系统集成解决方案供应商。公司专注于集成电路芯片设计开发业务，是领先的集成电路芯片产品和解决方案提供商，产品及应用遍及国内外，在智能安全芯片、高稳定存储器芯片、安全自主FPGA、功率半导体器件、超稳晶体频率器件等核心业务领域已形成领先的竞争态势和市场地位。公司深耕集成电路相关领域多年，凭借持续的技术积累、市场拓展和精心构筑的产品质量体系，智能芯片、特种行业集成电路、存储器芯片、FPGA以及晶体等核心业务已形成业内领先的竞争优势，产品及应用遍及国内外。
603986.SH,兆易创新,10288834.826382304,2490691.240547718,2336793535.26,闪存芯片,集成电路,公司成立于2005年4月，是一家以中国为总部的全球化芯片设计公司。公司致力于各类存储器、控制器及周边产品的设计研发，已通过SGS ISO9001及ISO14001等管理体系的认证，在上海、合肥、中国香港设有全资子公司、在深圳设有分公司，在中国台湾地区设有办事处，并在韩国、美国、日本等地通过产品分销商为客户提供优质便捷的本地化服务。公司核心管理团队由来自世界各地的高级管理人员组成，每一位都曾在硅谷、韩国、台湾等各地著名IC企业工作多年，有着丰富的研发及管理经验。公司产品为NOR Flash、NAND Flash及MCU，广泛应用于手持移动终端、消费类电子产品、个人电脑及周边、网络、电信设备、医疗设备、办公设备、汽车电子及工业控制设备等各个领域。公司先后被评为“重大科技成果产业化突出贡献单位”、“创新型试点企业”。
300782.SZ,卓胜微,9269789.835837312,1445771.5803360995,2134834604.14,IP授权、低功耗蓝牙微控制器芯片、射频低噪声放大器、射频开关,电子元器件,公司由硅谷留学人员创办于张江高科技园区，在知名风险投资红杉资本和盈富泰克的支持下，已迅速成长为一家在射频器件及无线连接专业方向上具有顶尖的技术实力和不凡市场竞争力的芯片设计公司。公司专注于移动互联领域，致力于开发无线通信的射频，射频与数字soc芯片产品，并为客户提供基于公司芯片的完整软硬件解决方案。经过8年多的研发积累，公司已拥有丰富的产品线，在行业内树立了领先的地位，销售方面亦已快速扩张，目前的产品已经得到诸如三星、华为、联想、展讯等***客户的采用。目前，公司已成为国内领先的射频器件及无线连接领域的专家，曾经推出或现有的产品线，如cmmb项目产品mxd0265、硅调谐器产品mxd1516、gps低噪放大器芯片mxdln16g及lte switch芯片mxd8650等。
300316.SZ,晶盛机电,8147911.834715361,861510.7226348547,1711717145.99,单晶硅生长炉控制系统、多晶硅铸锭炉、全自动单晶硅生长炉,锅炉及附属设备,公司是一家以“发展绿色智能高科技制造产业”为使命的高端半导体装备和LED衬底材料制造的高新技术企业。公司主营产品为全自动单晶生长炉、多晶硅铸锭炉、区熔硅单晶炉、单晶硅滚圆机、单晶硅截断机、全自动硅片抛光机、双面研磨机、单晶硅棒切磨复合加工一体机、多晶硅块研磨一体机、叠片机、蓝宝石晶锭、蓝宝石晶片、LED灯具自动化生产线等。公司产品主要应用于太阳能光伏、集成电路、LED、工业4.0等具有较好市场前景的新兴产业。公司拥有多家子公司和研发中心，其中一个海外研发中心，拥有工业4.0方向的省级重点研究院、省级晶体装备研究院等研究平台、博士后工作站。
600460.SH,士兰微,7678324.579416927,2757443.0037333337,1517725588.3,士兰微DVD播放机电路、士兰微LED驱动电路、士兰微半导体分立器件芯片、士兰微电源管理电路、士兰微发光二极管、士兰微计量类电路、士兰微遥控发射电路、士兰微音响系统电路、士兰微直流电机驱动电路,集成电路,"公司经营范围是：电子元器件、电子零部件及其他电子产品设计、制造、销售；机电产品进出口。主要产品包括集成电路、半导体分立器件、LED(发光二极管)产品等三大类。经过将近二十年的发展，公司已经从一家纯芯片设计公司发展成为目前国内为数不多的以IDM模式(设计与制造一体化)为主要发展模式的综合型半导体产品公司。公司属于半导体行业,公司被国家发展和改革委员会、工业和信息化部等国家部委认定为“国家规划布局内重点软件和集成电路设计企业”，陆续承担了国家科技重大专项“01专项”和“02专项”多个科研专项课题。"
300661.SZ,圣邦股份,7476124.07291432,656868.0477344398,699389578.69,DC/DC转换器、LED驱动器、MOSFET 驱动、POP音抑制器、比较器、耳机驱动器、负载开关、过压保护器件、锂电池充电管理芯片、模拟信号开关、视频驱动器、特殊开关系列、微处理器复位芯片、线性稳压器、小逻辑门、音频功率放大器、音频驱动器、运算放大器,电子元器件,公司是一家专注于高性能、高品质模拟集成电路芯片设计及销售的高新技术企业。公司产品涵盖信号链和电源管理两大领域，包括运算放大器、比较器、音/视频放大器、模拟开关、电平转换及接口电路、小逻辑芯片、AFE、LDO、DC/DC转换器、OVP、负载开关、LED驱动器、微处理器电源监控电路、马达驱动、MOSFET驱动及电池管理芯片等。公司产品可广泛应用于消费类电子、手机与通讯、工业控制、医疗仪器、汽车电子等领域，以及物联网、新能源、可穿戴设备、人工智能、智能家居、无人机、机器人和共享单车等新兴电子产品领域。
603290.SH,斯达半导,6428711.089341803,794750.5189792531,398382971.15,1200V IGBT模块、其他电压IGBT模块,电子元器件,公司主营业务是以IGBT为主的功率半导体芯片和模块的设计研发和生产，并以IGBT模块形式对外实现销售。IGBT模块的核心是IGBT芯片和快恢复二极管芯片，公司自主研发设计的IGBT芯片和快恢复二极管芯片是公司的核心竞争力之一。IGBT作为一种新型电力电子器件，是国际上公认的电力电子技术第三次革命最具代表性的产品，是工业控制及自动化领域的核心元器件，其作用类似于人类的心脏，能够根据工业装置中的信号指令来调节电路中的电压、电流、频率、相位等，以实现精准调控的目的。因此，IGBT被称为电力电子行业里的“CPU”，广泛应用于电机节能、轨道交通、智能电网、航空航天、家用电器、汽车电子、新能源发电、新能源汽车等领域。据IHSMarkit2018年报告数据显示，在2017年度IGBT模块供应商全球市场份额排名中，斯达股份排名第10位，在中国企业中排名第1位，成为世界排名前十中唯一一家中国企业。
300223.SZ,北京君正,5499735.66158314,1112515.8013112033,926181170.71,Android 2.2第三方开发环境、USB Boot工具、XBurst CPU、君正Linux系统、芯片,行业专用软件、集成电路,公司是一家集成电路设计企业，拥有全球领先的32位嵌入式CPU技术和低功耗技术。公司主营业务为微处理器芯片、智能视频芯片等ASIC芯片产品及整体解决方案的研发和销售。公司拥有较强的自主创新能力，多年来在自主创新CPU技术、视频编解码技术、图像和声音信号处理技术、SoC芯片技术、软件平台技术等多个领域形成多项核心技术。公司已形成可持续发展的梯队化产品布局，基于自主创新的XBurst CPU和视频编解码等核心技术，公司推出了一系列具有高性价比的微处理器芯片产品和智能视频芯片产品，各类别的芯片产品分别面向不同的市场领域。公司积极培养复合型人才，形成合理的人才梯队，不断加强团队凝聚力，已累计获得多项专利证书，是国内外领先的嵌入式CPU芯片及解决方案提供商之一。
605358.SH,立昂微,5184123.875307245,660729.1253360995,600303350.38,MOSFET芯片、半导体分立器件业务、肖特基二极管、肖特基二极管芯片,电子元器件,公司设立以来，始终专注于半导体材料、半导体芯片及相关产品的研发及制造领域。经过多年的发展，公司不仅在半导体硅片、半导体分立器件芯片及分立器件成品方面已经形成了自身的主打产品；同时，公司还坚持不懈的进行技术研发投入，通过承担国家科技重大专项、引进高端技术人才等多种方式，在半导体材料及芯片领域不断加强自身的研发实力与技术积累。公司先后承担并成功完成了科技部国家863计划、国家火炬计划、国家发改委高技术产业化示范工程、信息产业技术进步与产业升级专项等国家重大科研项目。此外，公司及其子公司多次荣获中国半导体创新产品和技术奖、浙江省技术发明一等奖等重要奖项。
600584.SH,长电科技,5049787.954,1385153.9739626558,2958712532.84,长电SIP封装、长电半导体芯片、长电场效应管、长电二极管、长电封测服务、长电集成电路、长电可控硅（晶闸管）、长电三极管、长电手机类元器件、长电数字晶体管、长电稳压电路,半导体分立器件、电子元器件、集成电路、系统集成服务,公司全球知名的集成电路封装测试企业。公司面向全球提供封装设计、产品开发及认证，以及从芯片中测、封装到成品测试及出货的全套专业生产服务。长电科技致力于可持续发展战略，崇尚员工、企业、客户、股东和社会和谐发展，合作共赢之理念，先后被评定为国家重点高新技术企业，中国电子百强企业，集成电路封装技术创新战略联盟理事长单位，中国出口产品质量示范企业等，拥有国内高密度集成电路国家工程实验室、国家级企业技术中心、博士后科研工作站等。公司生产、研发和销售网络已覆盖全球主要半导体市场。公司具有广泛的技术积累和产品解决方案，包括有自主知识产权的Fan-out eWLB、WLCSP、Bump、PoP、fcBGA、SiP、PA等封装技术，另外引线框封装及自主品牌的分立器件也深受客户褒奖。
